Timestamp,Description of the situation the animal is in,Animal type,TypeOfSituation
06-07-2021 21.16,A pair of rabbits available for adoption,Rabbit,Adoption
06-07-2021 21.17,Donkey was overloaded with heavy material,Donkey,Cruelty being done
06-07-2021 21.18,Horse being made to pull cart inspite of leg injury,Horse,Cruelty being done
06-07-2021 21.18,Elephant tied to pole near temple throughout the day,Elephant,Cruelty being done
06-07-2021 21.19,Peacock being kept in house,Peacock,Illegal possession of animal / exotic/ endangered species
06-07-2021 21.19,Lion cubs being walked on leash,lion/tiger/leopard/cheetah(big carnivorous),Illegal possession of animal / exotic/ endangered species
06-07-2021 21.20,Tiger is trapped in forest area,lion/tiger/leopard/cheetah(big carnivorous),Rescue
06-07-2021 21.21,Pigs being transported in stuffed van,Pig,Cruelty being done
07-07-2021 20.39,A Pigeon is not able to fly,Bird (except pigeon),Injured /Sick
07-07-2021 20.40,Bird is stuck in tree due to manjha,Bird (except pigeon),Rescue
07-07-2021 20.41,Cat has fallen in drain. Not able to come out,Cat,Rescue
07-07-2021 20.41,A buffalo's leg is broken.its lying on roadside,Cattle,Injured /Sick
07-07-2021 20.42,Dog is howling in neighbours house since yesterday,Dog,Rescue
07-07-2021 20.42,Donkey tied in small area throughout day n night,Donkey,Cruelty being done
07-07-2021 20.43,Elephant at temple has red eye,Elephant,Injured /Sick
07-07-2021 20.44,Hen seems to have injured leg,Hen,Injured /Sick
07-07-2021 20.44,Hens being transported stuffed in cages,Hen,Cruelty being done
07-07-2021 20.45,Horse is not able to get up,Horse,Injured /Sick
07-07-2021 20.45,Leopard has strayed inside a school,lion/tiger/leopard/cheetah(big carnivorous),Seems lost / displaced / abandoned
07-07-2021 20.46,Monkey has been electrocuted,Monkey,Injured /Sick
07-07-2021 20.47,Peacock is not able to move. It's ony terrace,Peacock,Don't know what is the problem
07-07-2021 20.47,Pigeon has growth near it's eye,Pigeon,Injured /Sick
07-07-2021 20.49,Pigs are being illegally kept and bred,Pig,Illegal breeding
07-07-2021 20.49,Rabbits are kept in general store shop for selling,Rabbit,Illegal pet shop
07-07-2021 20.50,Snake is found in bathroom,Snake,Rescue
07-07-2021 20.50,Baby Squirrel found inside room,Squirrel,Rescue
07-07-2021 20.51,Injured stray dog needs to recover in home care,Dog,Fostering / Boarding
12-07-2021 21.56,Have to leave country and can't take my bird's with me. Looking for a good home for them,Bird (except pigeon),Adoption
12-07-2021 21.57,Saw children in neighbouring flat poking their caged pet bird with sticks,Bird (except pigeon),Cruelty being done
12-07-2021 21.58,Need to go out of station for few weeks and looking to board my birds,Bird (except pigeon),Fostering / Boarding
12-07-2021 21.59,Love birds being bred by family and being sold. They don't have license,Bird (except pigeon),Illegal breeding
12-07-2021 22.00,Birds being sold by pet accessories shop. Not sure if they have permission,Bird (except pigeon),Illegal pet shop
12-07-2021 22.01,People living down the road have penguins as pets,Bird (except pigeon),Illegal possession of animal / exotic/ endangered species
12-07-2021 22.02,Crow seems to have injury on his feathers and not able to fly,Bird (except pigeon),Injured /Sick
12-07-2021 22.03,Kite is entangled in manja string and hanging from tree,Bird (except pigeon),Rescue
12-07-2021 22.04,The birds in our area seemed to be affected by heat due to lack of water,Bird (except pigeon),Weak / Underfed / Malnourished
12-07-2021 22.06,Birds being hunted in nearby forest area,Bird (except pigeon),Being hunted 
13-07-2021 21.50,My Persian cat is up for adoption as I have to leave my job and go to village. Brown in color and neutered and vaccinated,Cat,Adoption
13-07-2021 21.52,"My cousin has caught 2 cats and kept them in cage throughout the day, since so many days",Cat,Cruelty being done
20-07-2021 16.53,"As I am.closing my dairy business, looking for someone to adopt my 2 cows. They are old and not giving milk.",Cattle,Adoption
20-07-2021 16.54,Bulls are being made to pull heavy cart. They are being beaten to keep walking,Cattle,Cruelty being done
20-07-2021 16.54,Buffalo seems sick as lying besides road and moaning,Cattle,Injured /Sick
20-07-2021 16.55,The cows in Gandhi gowshala seem very thin. Are they being fed properly?,Cattle,Weak / Underfed / Malnourished
20-07-2021 16.56,Cows being given antibiotics and other injection for milking purpose,Cattle,Misuse of cattle
20-07-2021 16.57,Have given shelter to few indie puppies. They are 3 months old. ,Dog,Adoption
20-07-2021 16.58,A sick mother dog needs to be looked after along with puppies for few days,Dog,Fostering / Boarding
20-07-2021 16.58,Dog is beaten regularly by owner,Dog,Cruelty being done
20-07-2021 16.59,Lot of dogs kept in small cages in unhygienic conditions for breeding purpose,Dog,Illegal breeding
20-07-2021 17.00,Pure breed puppies being sold online,Dog,Illegal breeding
20-07-2021 17.01,A stray dog is howling with pain since yesterday night,Dog,Injured /Sick
20-07-2021 17.02,Few dogs in this locality need to be operated. Who can be contacted?,Dog,Neutering
20-07-2021 17.03,Dog seems to have stuck his head in a pipe,Dog,Rescue
20-07-2021 17.03,"A dog with shiny coat is roaming around ,very scared n lost",Dog,Seems lost / displaced / abandoned
20-07-2021 17.04,"Due to lockdown, dogs in this area seem to be living without much food",Dog,Weak / Underfed / Malnourished
25-07-2021 11.22,Street dog with skin issues and bleeding,Dog,Injured /Sick
25-07-2021 11.30,"A pet puppy is being kept in rain and heat in an outside enclosure in F 431, Sarita Vihar, New Delhi 110076. Cries all the time.",Dog,Cruelty being done
25-07-2021 13.50,"A pet cat is locked up in the house the whole day while the working couple is away to work from 8 am to 6 pm in the evening. H block Maharani bagh , New Delhi.",Cat,Cruelty being done
25-07-2021 13.54,A pet dog is left in the balcony the whole day and night . Area is 10x 10 feet. No one takes him for walk . He is fed by maid servant and no one cleans the balcony. He lives in dirty area for the whole week. Only weekly cleaning is done.,Dog,Cruelty being done
25-07-2021 16.03,Injured cat with 3 kittens found on footpath,Cat,Injured /Sick
25-07-2021 16.04,Cats I  society premises create nuisance,Cat,Neutering
25-07-2021 16.05,Bird stich on grill of locked flat,Pigeon,Rescue
25-07-2021 16.06,Snake seen in Joggers Park is scaring people,Snake,Rescue
25-07-2021 16.08,Dog with collar roaming the streets,Dog,Seems lost / displaced / abandoned
25-07-2021 16.09,"Injured eagle unable to fly, perched on roof of building",Bird (except pigeon),Injured /Sick
25-07-2021 16.11,"5 month old, well trained, brown and white Doberman needs new home as current family moving out of country",Dog,Adoption
25-07-2021 16.13,Monkeys scaring children and stealing things ,Monkey,Minkeys should be caught abs released to the wild
25-07-2021 16.18,lot of stray dogs in our block ready to jump on to anyone and everyone.,Dog,stray dog probem - can't even take a walk...so terrible
25-07-2021 20.50,Crowding of birds in cages,Bird (except pigeon),Cruelty being done
25-07-2021 20.52,Beating elephants to make them work,Elephant,Cruelty being done
26-07-2021 13.25,Snake skin found in garden near our flat,Snake,Is this risky?
26-07-2021 13.26,Snake is sitting near road but not moving. Could he be injured?,Snake,Injured /Sick
26-07-2021 13.27,There is snake found in our bathroom.please help,Snake,Seems lost / displaced / abandoned
26-07-2021 13.28,Lot of snakes are roaming around in our community park. Please relocate them as they are risky for residents,Snake,Rescue
26-07-2021 13.30,Dog is not able to walk. Please check,Dog,Injured /Sick
27-07-2021 19.06,A squirrel has injured its tail. Not able to catch it,Squirrel,Injured /Sick
27-07-2021 19.07,A pig has struck its head in a pot. Not able to remove,Pig,Rescue
27-07-2021 19.08,Donkey seems to be mistreated. Think and made to carry lot of load,Donkey,Weak / Underfed / Malnourished
27-07-2021 19.09,The horses being used for training in riding school seemd malnourished,Horse,Weak / Underfed / Malnourished
27-07-2021 19.09,Peacock being kept in a room in house nearby,Peacock,Illegal possession of animal / exotic/ endangered species
02-08-2021 13.07,Dog found caged and underfed. Maybe they are breeders,Dog,Cruelty being done
02-08-2021 13.08,Dog is tied whole day and no socializing or walking happening,Dog,Cruelty being done
02-08-2021 13.09,The dog owners have built a kennel for dog and whole day and night keep him closed inside it. Just take him for 2 short walks,Dog,Cruelty being done
02-08-2021 13.10,A cat has been neutered and needs to be fostered for few days for care,Cat,Fostering / Boarding
02-08-2021 13.10,A litter of pups here have lost their mother and needs fostering. Please come forward,Dog,Fostering / Boarding
02-08-2021 13.11,We are shifting city and want to give away our birds,Bird (except pigeon),Adoption
02-08-2021 13.12,A cow's leg is injured and it's sitting near petrol pump,Cattle,Injured /Sick
02-08-2021 13.12,Children in the neighborhood street are hitting stray dogs with stones,Dog,Cruelty being done
02-08-2021 13.13,A bitch has given puppies and seems very weak,Dog,Weak / Underfed / Malnourished
02-08-2021 13.14,A monkey was electrocuted and has fallen. Please come n pick up,Monkey,Rescue
02-08-2021 13.15,Snake was found inside the car engine. It's not moving,Snake,Rescue
02-08-2021 13.16,We have rescued dogs from streets and they are available for adoption. Looking for forever homes for them,Dog,Adoption
02-08-2021 13.17,Pigeons are growing in large numbers in our apartment. What can be done to eradicate them?,Pigeon,Nuisance 
02-08-2021 13.18,So many monkeys are here and keep snatching things from us,Monkey,Troublesome monkeys
09-08-2021 8.07,Abandoned and sick cat found.,Cat,Injured /Sick
09-08-2021 20.56,Elephant being used in circus seems sick. Please check,Elephant,Injured /Sick
09-08-2021 20.58,Horse is vomiting badly. Please come and check,Horse,Injured /Sick
12-08-2021 12.48,A bird's chicks are crying since yesterday. Mother bird not seen,Bird (except pigeon),Rescue
12-08-2021 12.49,A leopard was seen in kanakpura forest area. Where has it come from. It seemed to be limping,lion/tiger/leopard/cheetah(big carnivorous),Rescue
12-08-2021 12.50,Cat in our apartment complex need to be neutered. Not able to catch it,Cat,Neutering
12-08-2021 12.51,Peacock in rail wheel factory seems unwell. As not moved since yesterday,Peacock,Injured /Sick
12-08-2021 12.52,These farm people near our apartment are keeping hens in small cages,Hen,Cruelty being done
12-08-2021 12.53,Saw van number ka45k 6529 transporting hens in dirty vehicle,Hen,Unhygienic transportation
12-08-2021 12.54,Hens in chicken selling shop are kept in small cages ,Hen,Cruelty being done
12-08-2021 12.55,A squirrel baby has come to my balcony. How to take care,Squirrel,Rescue
12-08-2021 12.55,Stray dog near my house needs to be neutered,Dog,Neutering
12-08-2021 12.56,Stray dog here has given birth to puppies. All need food n care,Dog,Weak / Underfed / Malnourished
13-08-2021 23.08,I saw a small rabbits being kept in a small place ,Rabbit,Cruelty being done
13-08-2021 23.19,ASSIST WILDLIFE HOSPITAL WITH INJURED horse TRAPPED in lake,Horse,Injured /Sick
13-08-2021 23.21,RUNNING CALL TO BIRD WITH HEAD TRAPPED IN KENNEL,Bird (except pigeon),Rescue
13-08-2021 23.23,squirrel TRAPPED IN FOOTBALL NET ,Squirrel,Seems lost / displaced / abandoned
13-08-2021 23.25,SWAN IN DISTRESS trapped in sewage close to ejipura ,Bird (except pigeon),Rescue
13-08-2021 23.31,monkey stuck  IN RIVER  and is not able to escape as the stream is too fast ,Monkey,Rescue
13-08-2021 23.32,INJURED SQUIRREL TRAPPED UNDER CAR AND THIS SQUIRREL HAS A NEST AT MY WINDOW PANE,Squirrel,Injured /Sick
13-08-2021 23.34,UNKNOWN ANIMAL STUCK IN CHIMNEY FEELS LIKE A CAT FROM THE SCRATCHES PLEASE SEND HELP,Cat,Rescue
13-08-2021 23.38,CAT IMPALED ON FENCE IS IN A VERY BAD CONDITION HAS A FAINT BREATH,Cat,Injured /Sick
13-08-2021 23.38,"The elephant was found severely injured after it ate a pineapple with firecrackers intentionally placed in it, which exploded in its mouth. ",Elephant,Cruelty being done
13-08-2021 23.41,UNKNOWN SNAKE IN HOUSE NO CLUE IF ITS POISONOUS OR NOT AND IM TOO SCARED TO FIND OUT ,Snake,Seems lost / displaced / abandoned
13-08-2021 23.49,HORSE COLLAPSED IN MIDDLE OF THE FIELD ,Horse,Injured /Sick
13-08-2021 23.50,I saw a man killing a chicken with a crossbow brutally and then celebrating  ,Hen,Cruelty being done
13-08-2021 23.56,A baby monkey tortured and beaten to death on a video ,Monkey,Cruelty being done
13-08-2021 23.58,SNAKE DEAD ON THE STREET IN FRONT OF MY HOUSE ,Snake,Injured /Sick
14-08-2021 0.00,heavy live stock stuck in a puddle of water need help to take them out,Cattle,Rescue
15-08-2021 15.35,Troops of monkey found near electronic city phase-2 roads. Some of them are babies. There are many cars and trucks in this area and they could be prone to accidents.,Monkey,Seems lost / displaced / abandoned
15-08-2021 15.40,"Lion cubs are being bred in a house in jayanagar, 12th cross, Gunjan House #2.
These cubs are being bred and sold to rich businessmen.",lion/tiger/leopard/cheetah(big carnivorous),Illegal breeding
15-08-2021 17.59,"A beautiful black cat (possibly Persian cat) found roaming around. She is pregnant, seems lost. Keeps meowing at night. Found near Columbia Asia hospital Sarjapur",Cat,Seems lost / displaced / abandoned
15-08-2021 18.01,"Cattle have been let loose on the roads and are entering the apartments in Koramanagala, 100ft road. Cattle animals include: sheep and cows. All these animals have a number stamped on their ears.",Cattle,Seems lost / displaced / abandoned
15-08-2021 18.03,"Greyhound dog found abandoned because it has lost one of it's leg, probably in an accident. He is with us right now but is up for adoption. we can't keep him for long as we are moving out of this place.",Dog,Adoption
15-08-2021 18.05,"Neighbours next door have a bunch of rabbits but they don't take care of them and after the rabbits die, they skin the rabbits and sell it and the rabbit meat separately. Please help these rabbits. These rabbits are overfed and get sick very often because of it.",Rabbit,Cruelty being done
15-08-2021 18.10,2-3 horses found in my locality and they are severely injured. seems like an accident due to a large vehicle and now flies and other insect are feasting on them. please send help.,Horse,Injured /Sick
15-08-2021 18.11,Peacock roaming freely in the streets. some people might capture it and misuse this bird for money. please rescue this peacock.,Peacock,Rescue
